Instrument,Audit Oversight of Tax,Named Position for Tax Oversight,Tax Breakdown by Country,Tax Breakdown by Domestic or International,Tax Data Verification,Tax Fairness Commitment,Tax in Audit Tor,Tax Oversight by Board,Policy Tax Transparency,Taxes Align to Revenues,CSR Sustainability Committee,Integrated Strategy in MD&A,Global Compact Signatory,Stakeholder Engagement,CSR Sustainability Reporting,GRI Report Guidelines,CSR Sustainability Report Global Activities,CSR Sustainability External Audit,CSR Sustainability External Auditor Name,ESG Reporting Scope,ESG Period Last Update Date,UNPRI Signatory,SDG 2 Zero Hunger,SDG 3 Good Health and Well-being,SDG 4 Quality Education,SDG 5 Gender Equality,SDG 6 Clean Water and Sanitation,SDG 7 Affordable and Clean Energy,SDG 8 Decent Work and Economic Growth,"SDG 9 Industry, Innovation and Infrastructure",SDG 10 Reduced Inequality,SDG 11 Sustainable Cities and Communities,SDG 12 Responsible Consumption and Production,SDG 13 Climate Action,SDG 14 Life Below Water,SDG 15 Life on Land,SDG 16 Peace and Justice Strong Institutions,SDG 17 Partnerships to achieve the Goal
STAN.L,,,,,,,,,,,True,True,True,True,True,True,True,True,Global Documentation Ltd,100.0,2025-07-18,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True
CCEPC.L,,,,,,,,,,,True,True,True,True,True,True,True,True,DNV GL Business Assurance Services UK Limited,100.0,2024-11-22,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False
CRDA.L,,,,,,,,,,,True,True,True,True,True,True,True,True,KPMG LLP,100.0,2024-11-29,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
ANTO.L,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,Deloitte Advisory SpA,100.0,2025-07-04,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EZJ.L,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,True,VERIFAVIA SAS,100.0,2025-07-18,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,False,True
BNZL.L,False,True,False,False,False,False,False,True,True,True,True,,False,True,True,,True,,,100.0,2024-11-22,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False
SGE.L,,,,,,,,,,,True,True,False,True,True,False,True,False,,100.0,2025-03-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SVT.L,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,"Black & Veatch Consulting,JACOBS",100.0,2025-05-23,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False
LMPL.L,,,,,,,,,,,False,True,False,False,True,,True,,,100.0,2025-04-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ICAG.L,,,,,,,,,,,True,True,False,True,True,True,True,True,,100.0,2024-11-22,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False
REL.L,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Ernst & Young LLP,100.0,2024-12-20,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
SMIN.L,,,,,,,,,,,True,True,False,True,True,,True,,,100.0,2025-02-14,False,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False
BAB.L,,,,,,,,,,,True,True,False,True,True,,True,,,100.0,2025-06-13,False,False,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False
AZN.L,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,,True,True,Bureau Veritas,100.0,2025-01-23,False,False,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True
HSBA.L,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,PricewaterhouseCoopers,92.0,2025-05-30,True,False,True,True,False,True,True,False,True,False,True,False,True,False,False,False,False
CTEC.L,,,,,,,,,,,True,True,True,True,True,True,True,True,DNV GL Business Assurance Services UK Limited,100.0,2025-05-23,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False
WPP.L,,,,,,,,,,,True,True,True,True,True,True,True,True,PricewaterhouseCoopers LLP,98.0,2025-05-30,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True
